question_id,category,qa_type,difficulty,question,option_1,option_2,option_3,option_4,answer,hint
2001,General Computer Science,Multiple Choice,Easy,Which of the following is not a type of computer memory? ,a) RAM,b) ROM ,c) CPU ,d) HDD ,c) CPU,Not a) or d)
2002,General Computer Science,Multiple Choice,Easy,Which of the following is not a type of computer network? ,a) LAN ,b) WAN ,c) PAN ,d) SAN ,d) SAN,Not b) or c)
2003,General Computer Science,Multiple Choice,Medium,Which of the following is not a type of software,a) System software ,b) Application software ,c) Hardware software ,d) Firmware ,c) Hardware software,Not a) or d)
2004,General Computer Science,Multiple Choice,Medium,Which of the following is not a type of computer language? ,a) Assembly ,b) High-level ,c) Low-level ,d) Database ,d) Database,Not b) or c)
2005,General Computer Science,Multiple Choice,Hard,Which of the following is not a type of computer architecture? ,a) Von Neumann,b) Harvard ,c) Neural ,d) Quantum ,c) Neural,Not a) or d)
2006,General Computer Science,Multiple Choice,Hard,Which of the following is not a type of computer security? ,a) Network security ,b) Application security ,c) Hardware security ,d) Time security ,d) Time security,Not b) or c)
2007,Python3 Syntax,Multiple Choice,Easy,What is the correct syntax for creating a list in Python? ,"a) list = {1, 2, 3} ","b) list = [1, 2, 3] ","c) list {1, 2, 3} ","d) list [1, 2, 3] ","b) list = [1, 2, 3] ",Not a) or d)
2008,Python3 Syntax,Multiple Choice,Easy,What is the correct way to create a tuple in Python? ,"a) tuple = {1, 2, 3} ","b) tuple = [1, 2, 3]","c) tuple {1, 2, 3} ","d) tuple (1, 2, 3) ","d) tuple (1, 2, 3) ",Not b) or c)
2009,Python3 Syntax,Multiple Choice,Medium,What is the correct syntax for creating a dictionary in Python? ,a) dict = {'key': 'value'} ,"b) dict = [""key"": ""value""] ",c) {'key': 'value'} ,"d) {""key"": ""value""} ","d) {""key"": ""value""} ",Not b) or c)
2010,Python3 Syntax,Multiple Choice,Medium,What is the correct way to create a set in Python? ,"a) set = (1, 2, 3) ","b) set = [1, 2, 3] ","c) set {1, 2, 3} ","d) set {(1, 2, 3)} ","c) set {1, 2, 3} ",Not a) or d)
2011,Python3 Syntax,Multiple Choice,Hard,What is the correct syntax for creating a lambda function in Python? ,a) lambda x: x+1 ,b) function x: x+1 ,c) def x: return x+1 ,d) x => x+1 ,a) lambda x: x+1 ,Not b) or c)
2012,Python3 Syntax,Multiple Choice,Hard,What is the correct way to create a class in Python? ,a) class MyClass: ,b) class MyClass(): ,c) def MyClass: ,d) def MyClass(): ,b) class MyClass(): ,Not a) or d)
2013,Object-Oriented Programming,Multiple Choice,Easy,What is the correct syntax for creating a constructor in a class? ,a) constructor(){},b) __construct(){} ,c) __init__{}() ,d) __init__(){} ,d) __init__(){} ,Not b) or c)
2014,Object-Oriented Programming,Multiple Choice,Easy,Which of the following is not an advantage of object-oriented programming? ,a) Code ,b) Data hiding ,c) Increased code size ,d) Modularity ,c) Increased code size ,Not a) or d)
2015,Object-Oriented Programming,Multiple Choice,Medium,Which of the following is not a principle of object-oriented programming? ,a) Encapsulation,b) Abstraction ,c) Inheritance ,d) Performance,d) Performance,Not b) or c)
2016,Object-Oriented Programming,Multiple Choice,Medium,Which of the following is not a type of polymorphism in object-oriented programming? ,a) Ad-hoc polymorphism ,b) Parametric polymorphism ,c) Subtype polymorphism ,d) Performance polymorphism ,d) Performance polymorphism ,Not b) or c)
2017,Object-Oriented Programming,Multiple Choice,Hard,Which of the following is not a way to achieve encapsulation in object-oriented programming? ,a) Using private variables ,b) Using protected variables ,c) Using public variables ,d) Using global variables ,d) Using global variables ,Not b) or c)
2018,Object-Oriented Programming,Multiple Choice,Hard,Which of the following is not a way to achieve abstraction in object-oriented programming? ,a) Using interfaces ,b) Using abstract classes ,c) Using inheritance ,d) Using global variables,d) Using global variables,Not b) or c)
2019,"Algorithms and Big ""O""",Multiple Choice,Easy,Which of the following is not a common time complexity? ,a) O(1) ,b) O(n) ,c) O(n^2,d) O(n^3) ,d) O(n^3) ,Not b) or c)
2020,"Algorithms and Big ""O""",Multiple Choice,Easy,Which of the following is not a common space complexity? ,a) O(1) ,b) O(n) ,c) O(n^2,d) O(n^3) ,d) O(n^3) ,Not b) or c)
2021,"Algorithms and Big ""O""",Multiple Choice,Medium,Which of the following is not a common type of sorting algorithm? ,a) bubble sort ,b) quick sort ,c) insertion sort ,d) matrix sort ,d) matrix sort ,Not b) or c)
2022,"Algorithms and Big ""O""",Multiple Choice,Medium,Which of the following is not a common type of data structure? a,a) array ,array b) linked list ,c) stack ,d) matrix ,d) matrix ,Not b) or c)
2023,"Algorithms and Big ""O""",Multiple Choice,Hard,Which of the following is not a way to improve the time complexity of an algorithm? ,a) memoization ,b) dynamic programming ,c) increasing hardware power ,d) decreasing the input size ,c) increasing hardware power ,Not a) or d)
2024,"Algorithms and Big ""O""",Multiple Choice,Hard,Which of the following is not a property of Big O notation?,a) It describes the worst-case scenario ,b) It describes the average-case scenario ,c) It describes the best-case scenario ,d) It describes the time complexity in terms of the input size ,b) It describes the average-case scenario ,Not a) or d)
2025,Software Design Patterns,Multiple Choice,Easy,Which of the following is not a type of design pattern? ,a) creational ,b) behavioral,c) structural ,d) numerical ,d) numerical ,Not b) or c)
2026,Software Design Patterns,Multiple Choice,Easy,Which of the following is an example of a creational design pattern? ,a) singleton ,b) observer ,c) adapter ,d) bridge ,a) singleton ,Not b) or c)
2027,Software Design Patterns,Multiple Choice,Easy,What is the component of the Model-View-Controller design pattern that handles the data and business logic? ,a) model ,b) view ,c) controller ,d) database ,a) model ,Not b) or c)
2028,Software Design Patterns,Multiple Choice,Medium,Which of the following is not an example of a structural design pattern? ,a) decorator ,b) facade ,c) iterator ,d) transition ,d) transition ,Not b) or c)
2029,Software Design Patterns,Multiple Choice,Medium,Which of the following is an example of a behavioral design pattern? ,a) proxy ,b) adapter ,c) composite ,d) chain of responsibility ,d) chain of responsibility ,Not b) or c)
2030,Software Design Patterns,Multiple Choice,Medium,"In the Model-View-Controller design pattern, which component is responsible for updating the view when the model changes? ",a) model ,b) view ,c) controller ,d) database ,c) controller ,Not a) or d)
2031,Software Design Patterns,Multiple Choice,Hard,Which of the following is not a principle of design patterns,a) encapsulation ,b) abstraction,c) inheritance ,d) performance ,d) performance ,Not b) or c)
2032,Software Design Patterns,Multiple Choice,Hard,Which of the following is not a Gang of Four design pattern? ,a) command , b) interpreter,c) mediator ,d) validator ,d) validator ,Not b) or c)
2033,Software Design Patterns,Multiple Choice,Hard,"In the Model-View-Controller design pattern, which component is responsible for updating the model when the view changes? ",a) model ,b) view ,c) controller ,d) database ,c) controller ,Not a) or d)
2034,"History of Tacoma, UW, and UWT",Multiple Choice,Easy,The Washington State Fair is located in which Pierce County city? ,a) tacoma ,b) orting ,c) puyallup ,d) sumner ,c) puyallup ,Not a) or d)
2035,"History of Tacoma, UW, and UWT",Multiple Choice,Medium,Which year did the University of Washington Tacoma open its doors to students? ,a) 1990 ,b) 2020,c) 1910 ,d) 1850 ,a) 1990 ,Not b) or c)
2036,"History of Tacoma, UW, and UWT",Multiple Choice,Hard,What was the original industry of the City of Tacoma? ,a) fishing ,b) apples ,c) logging ,d) microchips ,c) logging ,Not a) or d)
2037,"History of Tacoma, UW, and UWT",Multiple Choice,Hard,Which year was the City of Tacoma officially incorporated? ,a) 1858 ,b) 1863 ,c) 1875 ,d) 1889 ,c) 1875 ,Not a) or d)
2038,"History of Tacoma, UW, and UWT",Multiple Choice,Hard,What is the nickname of the City of Tacoma? ,a) the city of trees,b) the city of destiny,c) the city of mountain,d) the city of the brave,b) the city of destiny,Not a) or d)
3001,General Computer Science,Short Answer,Easy,A _____ specific set of instructions that a computer can perform.,computer program,Null,Null,Null,computer program,c______r p_____m
3002,General Computer Science,Short Answer,Easy,A _____ is a set of rules and conventions for organizing and formatting data.,code,Null,Null,Null,code,c__e
3003,General Computer Science,Short Answer,Medium,"An _____ is a list set of instructions used to solve problems or perform tasks, based on the understanding of available alternatives.",algorithm,Null,Null,Null,algorithm,a_______m
3004,General Computer Science,Short Answer,Medium,A _____ is a sequence of instructions that are executed in a specific order. ,program,Null,Null,Null,program,p_____m
3005,General Computer Science,Short Answer,Hard,A _____ is a program or device that can gain unauthorized access to a computer system. ,malware,Null,Null,Null,malware,m_____e
3006,General Computer Science,Short Answer,Hard,A _____ is a process of ensuring that data is kept private and secure.,encryption,Null,Null,Null,encryption,e________n
3007,Python3 Syntax,Short Answer,Easy,The __init__ method is used to initialize a _______. ,class,Null,Null,Null,class,c___s
3008,Python3 Syntax,Short Answer,Easy,The _____ function is used to convert a variable to a string. ,str,Null,Null,Null,str,s_r
3009,Python3 Syntax,Short Answer,Medium,The _____ function is used to catch exceptions in Python. ,try,Null,Null,Null,try,t_y
3010,Python3 Syntax,Short Answer,Medium,The _____ statement is used to iterate over a sequence in Python,for,Null,Null,Null,for,f_r
3011,Python3 Syntax,Short Answer,Hard,The _____ function is used to raise an exception in Python. ,raise,Null,Null,Null,raise,r___e
3012,Python3 Syntax,Short Answer,Hard,The _____ statement is used to create a new scope in Python. ,with,Null,Null,Null,with,w__h
3013,Object-Oriented Programming,Short Answer,Easy,An _____ is a variable that belongs to an object or a class. ,attribute,Null,Null,Null,attribute,a_______e
